"metric","metric_label","model_id","model_alias","pareto_rank","line_id","cell_line","parameter","parameter_label","baseline_metric","elevated_metric","metric_delta","baseline_parameter","elevated_parameter","log2_elevated_vs_baseline","fit_id","best_start"
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,3,"SNU668","ae[1]","v1",0,1.01581750460499,1.01581750460499,7.24052111015327e-05,0.000111400650190704,0.621592214120284,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,3,"SNU668","ah[1]","K1",0,1.01581750460499,1.01581750460499,0.0231583238852373,0.0302072279967809,0.383362959348824,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,3,"SNU668","Y_R[1]","y1",0,1.01581750460499,1.01581750460499,666.089875568276,304.885684950845,-1.12744843915242,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,3,"SNU668","m","m",0,1.01581750460499,1.01581750460499,0.00856501227923872,0.00613243080108469,-0.481996265261303,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","ae[1]","v1",0,0.463963523790174,0.463963523790174,6.54453977823527e-05,7.96788696889403e-05,0.283905438443816,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","ah[1]","K1",0,0.463963523790174,0.463963523790174,0.092720818716638,0.104685530232961,0.175096834523711,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","Y_R[1]","y1",0,0.463963523790174,0.463963523790174,477.975532879298,334.495554862175,-0.514949730979774,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,4,"SUM-159-chem","m","m",0,0.463963523790174,0.463963523790174,0.0115675317369735,0.0099304743645336,-0.22014651713577,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","ae[1]","v1",0,-0.393233128960496,-0.393233128960496,5.8428958013992e-05,4.94530324800466e-05,-0.240624571035572,"all_lines_cell_area__1r_1p_0w_c0_m1",148
"cell_area","Cell area","1R_1P_0W_C0_M1","1R",1,5,"SUM-159-fuse","ah[1]","K1",0,-0.393233128960496,-0.393233128960496,0.0422020428645202,0.0380767196970659,-0.148403640761156,"all_lines_cell_area__1r_1p_0w_c0_m1",148
