"model_id","model_alias","pareto_rank","metric","cell_line","glucose_mM","delta_log_lik","n_wells","glucose_label"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-chem",0.5,-2.71823999999998,2,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-chem",0.5,-1.18088,2,"0.50"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-fuse",0.5,-14.2559400000001,4,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-fuse",0.5,-41.98768,4,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-fuse",0.5,0.63103000000001,4,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-fuse",0.5,-14.71773,4,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SUM-159-fuse",0.5,-21.22596,4,"0.50"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SUM-159-fuse",0.5,-7.60200999999995,4,"0.50"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SUM-159-fuse",0.5,-26.5836999999999,4,"0.50"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SUM-159-fuse",0.5,10.54043,4,"0.50"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SUM-159-fuse",0.5,-12.3339899999999,4,"0.50"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SUM-159-fuse",0.5,-20.86677,4,"0.50"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MCF10A",1,-2.33418000000006,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MCF10A",1,-0.753219999999942,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MCF10A",1,-4.39918,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MCF10A",1,-5.08384999999998,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MCF10A",1,-9.68415999999991,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MCF10A",1,3.85046999999997,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MCF10A",1,3.2107400000001,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MCF10A",1,0.57334000000003,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MCF10A",1,7.69583999999998,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MCF10A",1,16.39969,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","MDA-MB-231",1,-1.33186999999998,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","MDA-MB-231",1,1.48694,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","MDA-MB-231",1,-3.52661999999998,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","MDA-MB-231",1,-5.14442000000003,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","MDA-MB-231",1,-4.69941000000006,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","MDA-MB-231",1,-1.18923000000001,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","MDA-MB-231",1,-4.33030000000008,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","MDA-MB-231",1,-5.97696000000008,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","MDA-MB-231",1,4.97147999999999,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","MDA-MB-231",1,-0.512680000000046,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SNU668",1,0.641279999999995,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SNU668",1,0.912640000000067,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SNU668",1,4.20689000000004,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SNU668",1,2.65267,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"cell_area","SNU668",1,-1.40391000000005,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"nuclear_area","SNU668",1,-0.25672000000003,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"nuclear_area","SNU668",1,2.79541,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"nuclear_area","SNU668",1,5.53743000000003,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"nuclear_area","SNU668",1,2.92142000000001,2,"1.00"
"2R_2P_1W_C0_M0","2R(f),W(m)",5,"nuclear_area","SNU668",1,-0.882630000000006,2,"1.00"
"1R_1P_0W_C0_M1","1R",1,"cell_area","SUM-159-chem",1,4.02748000000008,2,"1.00"
"1R_1P_1W_C0_M0","1R,W(m)",2,"cell_area","SUM-159-chem",1,5.8730799999999,2,"1.00"
"2R_1P_0W_C0_M1","2R(a)",3,"cell_area","SUM-159-chem",1,-17.08786,2,"1.00"
"2R_2P_0W_C0_M1","2R(f)",4,"cell_area","SUM-159-chem",1,2.71616999999998,2,"1.00"
