context,assay,G0_mM,hours,pair_id,size_decile,stratum_median_bg_z_low,stratum_median_bg_z_high,n_cells_low,n_cells_high,high_minus_low_bg_z
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,4,0.351005611734775,0.532557684983216,19,11,0.181552073248441
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,5,0.457284013183976,0.0982616539005229,16,15,-0.359022359283453
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,6,0.328149135446124,0.179928040300214,25,19,-0.14822109514591
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,7,0.296014477211901,0.269318158869953,17,12,-0.0266963183419478
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,8,0.37300155484174,0.211826498773885,18,23,-0.161175056067854
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,9,0.354961638535154,0.251889808429878,24,22,-0.103071830105276
J00 mixture,J00 mixture,0.1,32,SUM159_J00_Competition_G5_2_01d08h00m,10,0.441713980319486,0.155715649710449,13,15,-0.285998330609037
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,1,0.372825118736475,0.718930479610915,14,10,0.34610536087444
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,2,1.07376284591834,0.622642393023459,13,15,-0.451120452894881
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,3,0.722281467330503,0.42865591753391,11,17,-0.293625549796593
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,4,0.558364217700253,0.768781171072034,14,10,0.210416953371781
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,5,0.532370127246882,0.625830010593452,20,10,0.0934598833465705
J00 mixture,J00 mixture,0.1,40,SUM159_J00_Competition_F5_3_01d16h00m,7,0.632253116986576,0.383887937378079,21,12,-0.248365179608497
