context,G0_mM,hours,ploidy_state,n_cells,median_cell_area_px,cell_q10,cell_q90,median_nuclear_area_px,nuclear_q10,nuclear_q90,context_label,G0_label
I00 fuse,0.1,96,low,801,1035,516,2318,173,101,291,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,104,low,447,1120,481.8,2402.8,176,90.6,329,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,112,low,221,917,432,2164,174,87,322,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.1,120,low,102,953,326.7,2263.5,182.5,86.4,317.3,SUM-159-fuse I00,★ 0.1 mM
I00 fuse,0.25,0,low,2501,765,425,1440,152,99,248,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,8,low,3083,906,532,1620.8,136,97,213.8,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,16,low,3996,1307.5,763,2101,149.5,107,224,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,24,low,4382,1616,981.1,2533,173,123,252,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,32,low,4706,1780,1025,2843,188,131,267.5,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,40,low,5128,1778.5,978.7,2955,195,134,281,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,48,low,5379,1715,946,3008.2,199,136,287,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,56,low,5481,1679,929,2966,202,139,294,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,64,low,5453,1607,859.2,2928.8,201,134,294,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,80,low,3953,1431,696.2,2783.4,188,122,300,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,88,low,2888,1324.5,583.7,2682.4,184,111,302,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,96,low,1940,1246,572,2606.7,181,102,310.1,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,104,low,1221,1246,547,2658,189,101,344,SUM-159-fuse I00,0.25 mM
I00 fuse,0.25,112,low,719,1178,517,2582,190,101.6,338.4,SUM-159-fuse I00,0.25 mM
